runId,startedAtUtc,startedAtParis,finishedAtUtc,status,error,network,cycleType,model,strategyVersion,configPreset,marketSnapshotId,llmQueryId
6e73381b-44c3-47c6-a42c-62a1d32c3ec5,2026-05-26T08:25:29.732Z,2026-05-26 10:25:29,2026-05-26T08:25:30.007Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1846,
fc01f82f-5eea-4c35-b57a-711980d41fc7,2026-05-26T08:27:59.673Z,2026-05-26 10:27:59,2026-05-26T08:28:00.070Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1847,
a91ab9a5-e2ef-44b6-8bab-e89913801c32,2026-05-26T08:30:30.134Z,2026-05-26 10:30:30,2026-05-26T08:30:30.458Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1848,
d12c8b47-50c6-4f1b-8ae3-f5e02f2f939b,2026-05-26T08:33:00.269Z,2026-05-26 10:33:00,2026-05-26T08:33:00.525Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1849,
032c5e38-d977-4079-a61b-9da33cd8e211,2026-05-26T08:35:30.210Z,2026-05-26 10:35:30,2026-05-26T08:36:20.308Z,COMPLETED,,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1850,1050
2ae32557-e24a-4d82-9746-040c4900bf3c,2026-05-26T08:39:01.759Z,2026-05-26 10:39:01,2026-05-26T08:39:02.068Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1851,
18519b5d-455b-42ca-8ada-472f9507e059,2026-05-26T08:41:30.514Z,2026-05-26 10:41:30,2026-05-26T08:41:30.776Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1852,
f6fdc637-6cfa-4ad9-8c58-f4fc93b036b5,2026-05-26T08:44:01.024Z,2026-05-26 10:44:01,2026-05-26T08:44:01.306Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1853,
0c92a01b-0a1d-465a-bb32-8e0ac4030c75,2026-05-26T08:46:29.186Z,2026-05-26 10:46:29,2026-05-26T08:46:29.445Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1854,
544e9898-2300-41e3-b35b-e4e284683fff,2026-05-26T08:49:00.042Z,2026-05-26 10:49:00,2026-05-26T08:49:00.304Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1855,
1ad0d655-a7e8-4d56-a71a-e5967425557b,2026-05-26T08:51:30.068Z,2026-05-26 10:51:30,2026-05-26T08:51:30.318Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1856,
f50c9030-df75-496d-b6a1-06b5ba4fd820,2026-05-26T08:53:59.726Z,2026-05-26 10:53:59,2026-05-26T08:53:59.985Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1857,
27b11873-c49b-4edf-bc23-4cfd2d8676f4,2026-05-26T08:56:29.597Z,2026-05-26 10:56:29,2026-05-26T08:56:29.859Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1858,
10e4007b-097d-4361-b35a-942a4997c450,2026-05-26T08:59:00.473Z,2026-05-26 10:59:00,2026-05-26T08:59:00.770Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1859,
a0371476-f8f7-427c-a3fe-40d361ba8164,2026-05-26T09:01:30.454Z,2026-05-26 11:01:30,2026-05-26T09:01:30.725Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1860,
414ea293-1c0f-44bf-b5cc-0f5af862f6c3,2026-05-26T09:04:00.499Z,2026-05-26 11:04:00,2026-05-26T09:04:00.758Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1861,
ac0be752-a113-4611-81d9-f224eca85720,2026-05-26T09:06:30.080Z,2026-05-26 11:06:30,2026-05-26T09:06:30.334Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1862,
49aa2858-2883-4f64-acec-5ecd4ec6a248,2026-05-26T09:08:59.597Z,2026-05-26 11:08:59,2026-05-26T09:08:59.984Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1863,
215a8796-b35e-4491-9a1f-dc10d17b31fe,2026-05-26T09:11:30.506Z,2026-05-26 11:11:30,2026-05-26T09:11:30.761Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1864,
3bced487-38e4-4f11-86a6-97c14b076438,2026-05-26T09:14:00.112Z,2026-05-26 11:14:00,2026-05-26T09:14:00.365Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1865,
0c7bf14d-e47c-4a88-adda-f159a33b1354,2026-05-26T09:16:30.383Z,2026-05-26 11:16:30,2026-05-26T09:16:30.636Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1866,
97567173-bcdd-4b54-abf7-9b27dbf3d305,2026-05-26T09:19:00.024Z,2026-05-26 11:19:00,2026-05-26T09:19:00.283Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1867,
908befeb-8404-4942-b6b0-82711ae85818,2026-05-26T09:21:30.285Z,2026-05-26 11:21:30,2026-05-26T09:21:30.598Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1868,
55692c29-0f58-41f2-aec4-15ee8b926e8b,2026-05-26T09:23:59.463Z,2026-05-26 11:23:59,2026-05-26T09:23:59.721Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1869,
77f1e357-620e-4358-a55b-d869144a650a,2026-05-26T09:26:30.095Z,2026-05-26 11:26:30,2026-05-26T09:26:30.440Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1870,
d8e4cbbe-6720-4e5b-8dcf-299fc0239c49,2026-05-26T09:29:00.007Z,2026-05-26 11:29:00,2026-05-26T09:29:00.272Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1871,
7c69328d-d7a5-412d-8e97-a52fd5da768c,2026-05-26T09:31:30.867Z,2026-05-26 11:31:30,2026-05-26T09:31:31.143Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1872,
e98cb843-475c-4270-8e29-574ac17608d9,2026-05-26T09:33:59.486Z,2026-05-26 11:33:59,2026-05-26T09:33:59.745Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1873,
8fcc3da2-7610-4a8b-80d4-1d03d5d7a3a1,2026-05-26T09:36:29.839Z,2026-05-26 11:36:29,2026-05-26T09:36:30.172Z,SKIPPED,No eligible candidates and no positions to manage. LLM call skipped.,mainnet,SCHEDULED,deepseek/deepseek-v4-pro,v1,Safe PM v1,1874,
